"name_de";"nummer";"lager_menge_total1";"lagerartikel";"lager_platz1"
"Fülltablette für Gesichtsausschnitt (mobile Liegen)";"1001480";"0";"0";"HMW-Lagerplatz1"
"Handschalter für Modell LINEA, Akku";"1001481";"0";"0";"HMW-Lagerplatz1"
"Leer-Karton für Rückholung";"1001482";"0";"0";"HMW-Lagerplatz1"
"(Reparatur) Mobiler Massagetisch neu polstern und beziehen";"1001483";"0";"0";"HMW-Lagerplatz1"
"Kopfteil für Oslo 2-Segmente und 3-Segmente";"1001484";"0";"0";"HMW-Lagerplatz1"
"Holzschraube für Höhenverstellung Clap Tzu Pro";"1001485";"0";"0";"HMW-Lagerplatz1"
"Pro Walk Mobile-Arm-Support mit mobiler Basis";"1001486";"2";"0";"HMW-Lagerplatz1"
"Pro Walk Dynamischer Ellbogen Stop";"1001487";"2";"0";"HMW-Lagerplatz1"
"Pro Walk Unterarmhalterung Pro/Supination";"1001488";"2";"0";"HMW-Lagerplatz1"
"(Polster) Kopfteil Matera 4-Segmente - nur mittleres Kopfteil, ohne Armablagen";"1001489";"1";"0";"HMW-Lagerplatz1"
"Klangmassageliegen Set nach Peter Hess - Farbe: PU-weiß";"1001490";"0";"0";"HMW-Lagerplatz1"
"WINBACK Leitgel";"1001491";"0";"1";"HMW-Lagerplatz1"
"WINBACK CET";"1001492";"0";"0";"HMW-Lagerplatz1"
"WINBACK CET";"1001493";"0";"0";"HMW-Lagerplatz1"
"Ladegerät für Linea Akku";"1001494";"0";"0";"HMW-Lagerplatz1"
"Schulterriemen Tragetasche (Ersatzteil)";"1001496";"0";"0";"HMW-Lagerplatz1"
"Ersatzbirne für SOL Infrarotwärmelampe";"1001497";"0";"0";"HMW-Lagerplatz1"
"Ersatzplatine für Fußschalter Edelstahl";"1001498";"0";"0";"HMW-Lagerplatz1"
"Hydraulische Therapieliege MALMÖ";"1001499";"0";"0";"HMW-Lagerplatz1"
"Massagekissen rund-oval, 35 x 25 x 6 cm";"1001500";"0";"0";"HMW-Lagerplatz1"
"Aufpreis für Akkubetrieb LINEA";"1001501";"0";"0";"HMW-Lagerplatz1"
"Fit-Sit Sitztabletten";"1001502";"0";"0";"HMW-Lagerplatz1"
"Weiterberechnung Verauslagung schweizer MwSt.";"1001503";"0";"0";"HMW-Lagerplatz1"
"Gesichtsausschnitt (inkl. Polsterkragen und Fülltablette) für stationäre Liegen";"1001504";"0";"0";"HMW-Lagerplatz1"
"Gestell Ergo (schwarz) für Economy Comfort Set";"1001505";"0";"0";"HMW-Lagerplatz1"
"(Polster) Armablage für Matera 4-Segmente, rechts";"1001506";"0";"0";"HMW-Lagerplatz1"
"(Polster) Armablage für Matera 4-Segmente, links";"1001507";"0";"0";"HMW-Lagerplatz1"
"(Polster) Fülltablette für Matera";"1001508";"0";"0";"HMW-Lagerplatz1"
"Hot Stone Heating Box - Wärmegerät ohne Steine";"1001509";"0";"0";"HMW-Lagerplatz1"
"(Ersatzteil) Matera - Motor 10 KN, Push";"1001510";"0";"0";"HMW-Lagerplatz1"
"(Polster) Liegefläche Matera für 2-, 4-Segmente";"1001511";"0";"0";"HMW-Lagerplatz1"
"Verkaufsprovision";"1001512";"0";"0";"HMW-Lagerplatz1"
"(Ersatzteil) Matera - Control Box SMG1-2 für beheizbare Liegefläche- bis  2019";"1001513";"0";"0";"HMW-Lagerplatz1"
"Mittel-Kopfteil 40/90°  mit Gesichtsausschnitt, rund (ohne Armablagen)";"1001514";"0";"0";"HMW-Lagerplatz1"
"(Ersatzteil) Gasdruckfeder für Untersuchungsliege Stockholm";"1001515";"1";"0";"HMW-Lagerplatz1"
"Wechselkopfteil Mumbai";"1001516";"0";"0";"HMW-Lagerplatz1"
"Liegenverbreiterung für Economy - Ersatz";"1001517";"0";"0";"HMW-Lagerplatz1"
"(EINKAUF) Gasdruckfeder Cavallo lang";"1001518";"0";"0";"HMW-Lagerplatz1"
"Gummipuffer für Standbeine Classic Set";"1001519";"0";"0";"HMW-Lagerplatz1"
"Massagekissen rund-oval, 35 x 25 x 6 cm";"1001520";"0";"0";"HMW-Lagerplatz1"
"(Ersatzteil) Matera - Control Box S2HP00G-230";"1001521";"0";"0";"HMW-Lagerplatz1"
"Fülltablette für Gesichtsausschnitt";"1001522";"0";"0";"HMW-Lagerplatz1"
"Polsterkragen für Gesichtsausschnitt";"1001523";"0";"0";"HMW-Lagerplatz1"
"Wechselkopfteil Mumbai";"1001524";"0";"0";"HMW-Lagerplatz1"
"Kopfteil ohne Armablagen für Oslo 4-Segmente und 5-Segmente";"1001526";"0";"0";"HMW-Lagerplatz1"
"Armablage, rechts - für Oslo 4-Segmente und 5-Segmente";"1001527";"0";"0";"HMW-Lagerplatz1"
"Armablage, links - für Oslo 4-Segmente und 5-Segmente";"1001528";"0";"0";"HMW-Lagerplatz1"
"Gebrauchsfertige Cryotücher mit Leitgel";"1001530";"0";"1";"HMW-Lagerplatz1"
"Handelektrode für Cryo";"1001532";"1";"0";"HMW-Lagerplatz1"
"Polsterplatte Ayurveda 2-Segmente";"1001533";"0";"0";"HMW-Lagerplatz1"
"Kosten für Einlagerung";"1001534";"0";"0";"HMW-Lagerplatz1"
"Reparatur/Service in ClapTzu-Werkstatt";"1001535";"0";"0";"HMW-Lagerplatz1"
"Ersatzteil - Stahlseil, lang mit Ösen für Clap Tzu Pro";"1001536";"0";"0";"HMW-Lagerplatz1"
"CLASSIC Armablage, gepolstert, stone";"1001537";"8";"1";"HMW-Lagerplatz1"
"CLASSIC Armablage, gepolstert, lime";"1001538";"12";"1";"HMW-Lagerplatz1"
"Liegenverlängerung für CLASSIC PRO SET, lime";"1001539";"10";"0";"HMW-Lagerplatz1"
"Liegenverlängerung für CLASSIC PRO SET, stone";"1001540";"19";"0";"HMW-Lagerplatz1"
"CLASSIC Polsterkragen lime";"1001541";"28";"1";"HMW-Lagerplatz1"
"(Ersatzteil) Stellfuß für Modell OSLO";"1001542";"0";"0";"HMW-Lagerplatz1"
"(Ersatzteil) Stellfuß-Aufnahmestopfen für Modell OSLO";"1001543";"0";"0";"HMW-Lagerplatz1"
"(EINKAUF) PP-Gurt, 50 mm, schwarz";"1001545";"4";"0";"HMW-Lagerplatz1"
"Anfahrtskosten-Pauschale bei Serviceleistungen";"1001546";"0";"0";"HMW-Lagerplatz1"
"Service/Reparatur durch Monteur vor Ort";"1001547";"0";"0";"HMW-Lagerplatz1"
"Erwärmbare Liegefläche für Modell Ambra Motion";"1001549";"0";"0";"HMW-Lagerplatz1"
"Luxuspolsterung 150mm mehrlagig für Modell Pacific";"1001550";"0";"0";"HMW-Lagerplatz1"
"integrierter Radhebesatz für Modell Pacific";"1001551";"0";"0";"HMW-Lagerplatz1"
"erwärmbare Liegefläche + LED Leuchten für Modell Pacific";"1001552";"0";"0";"HMW-Lagerplatz1"
"Netzteil für Liegenheizung";"1001554";"0";"0";"HMW-Lagerplatz1"
"Luxuspolsterung für Modell Wave Motion";"1001555";"0";"0";"HMW-Lagerplatz1"
"(EINKAUF) Hubsäule für Modell Linea";"1001556";"0";"0";"HMW-Lagerplatz1"
"(EINKAUF) Synchronsteuerung für Modell Linea, Compact2-EU";"1001557";"0";"0";"HMW-Lagerplatz1"
